component,first_seen_utc,last_seen_utc,hits,last_dose_value,last_dose_unit
133 lodine,2026-03-18T15:09:55+00:00,2026-03-18T15:09:55+00:00,1,150.0,mcg
7 nc,2026-03-13T14:36:20+00:00,2026-03-13T14:58:50+00:00,3,12.0,mg
added sugar,2026-03-19T02:56:46+00:00,2026-03-19T02:56:46+00:00,1,7.0,g
alpha carotene,2026-03-18T16:42:03+00:00,2026-03-19T02:47:39+00:00,11,140.0,mcg
alpha lipoic acid,2026-03-18T16:42:03+00:00,2026-03-18T16:47:26+00:00,4,25.0,mg
amino blend,2026-03-18T15:56:19+00:00,2026-03-19T02:47:39+00:00,14,800.0,mg
anti-sticking agent ),2026-03-08T08:00:03+00:00,2026-03-08T08:00:08+00:00,2,,
b6,2026-03-10T12:29:33+00:00,2026-03-10T12:34:02+00:00,2,75.0,mg
cakium,2026-03-13T07:26:47+00:00,2026-03-13T09:28:22+00:00,9,75.0,mg
calories,2026-03-19T02:56:45+00:00,2026-03-19T02:56:45+00:00,1,45.0,kcal
ceffeing cefein,2026-03-19T02:56:45+00:00,2026-03-19T02:56:45+00:00,1,39.0,mg
coating agent,2026-03-08T08:00:00+00:00,2026-03-08T08:00:05+00:00,2,,
colours and ins 172),2026-03-08T08:01:14+00:00,2026-03-08T08:01:39+00:00,2,,
corner,2026-03-13T14:36:20+00:00,2026-03-13T14:58:50+00:00,3,135.0,mg
cupric oxide,2026-03-10T11:49:33+00:00,2026-03-13T07:26:47+00:00,6,,
dicalcium phosphate,2026-03-08T07:58:54+00:00,2026-03-13T07:26:47+00:00,8,,
diluent ),2026-03-08T07:59:03+00:00,2026-03-08T07:59:14+00:00,2,,
disintegrant,2026-03-08T07:59:19+00:00,2026-03-08T07:59:29+00:00,2,,
dl-alpha tocopheryl acetate,2026-03-08T07:59:43+00:00,2026-03-08T07:59:47+00:00,2,,
enzyme blend,2026-03-18T15:56:19+00:00,2026-03-19T02:47:39+00:00,14,50.0,mg
ferrous fumarate,2026-03-08T07:59:33+00:00,2026-03-10T12:15:42+00:00,4,,
folkte foleto,2026-03-19T02:56:45+00:00,2026-03-19T02:56:45+00:00,1,25.0,mcg
fur,2026-03-19T03:02:22+00:00,2026-03-19T03:04:47+00:00,2,204.0,g
glazing agent and ins 462),2026-03-08T08:00:50+00:00,2026-03-08T08:01:06+00:00,2,,
green tea extract,2026-03-08T07:59:26+00:00,2026-03-13T14:58:50+00:00,14,500.0,mg
hct-oil,2026-03-19T13:49:18+00:00,2026-03-19T14:33:13+00:00,2,16.0,mg
ingredients,2026-03-08T07:58:45+00:00,2026-03-08T07:58:58+00:00,2,,
ingredients dicalcium phosphate,2026-03-13T07:26:47+00:00,2026-03-13T07:34:32+00:00,2,300.0,mcg
l-arginine,2026-03-08T07:59:15+00:00,2026-03-13T14:58:50+00:00,23,50.0,mg
l-arginino,2026-03-13T14:36:20+00:00,2026-03-13T14:58:50+00:00,3,20.0,mg
l-lysine,2026-03-10T11:49:33+00:00,2026-03-13T14:58:50+00:00,12,50.0,mg
l-meth cn ne,2026-03-13T14:36:20+00:00,2026-03-13T14:58:50+00:00,3,10.0,mg
l-methionine,2026-03-08T07:59:46+00:00,2026-03-13T09:28:22+00:00,15,10.0,mg
larginine,2026-03-13T14:36:20+00:00,2026-03-13T14:58:50+00:00,3,50.0,mg
ltysine,2026-03-13T07:26:47+00:00,2026-03-13T09:28:22+00:00,9,50.0,mg
lubricant,2026-03-08T07:59:30+00:00,2026-03-08T07:59:35+00:00,2,,
lycopene 10,2026-03-13T07:26:46+00:00,2026-03-13T08:18:36+00:00,4,500.0,mcg
mct-oil,2026-03-13T07:22:51+00:00,2026-03-19T16:03:10+00:00,13,16.0,mg
mct-ot,2026-03-19T13:49:18+00:00,2026-03-19T14:33:13+00:00,2,16.0,mg
n nct-ol,2026-03-19T15:07:22+00:00,2026-03-19T15:13:04+00:00,2,16.0,mg
n-pteroyl-l-glutamic acid,2026-03-08T08:00:38+00:00,2026-03-08T08:00:54+00:00,2,,
nature identical chocolate flavour,2026-03-08T07:59:37+00:00,2026-03-08T07:59:42+00:00,2,,
nct-oil,2026-03-19T03:02:22+00:00,2026-03-19T07:32:08+00:00,5,16.0,mg
nicotinamide,2026-03-08T07:59:40+00:00,2026-03-13T07:26:47+00:00,8,,
nigoin hesina,2026-03-19T02:56:45+00:00,2026-03-19T02:56:45+00:00,1,30.0,mg
paba,2026-03-18T16:42:04+00:00,2026-03-18T16:47:26+00:00,4,10.0,mg
pantothenate,2026-03-10T12:29:33+00:00,2026-03-26T15:54:52+00:00,6,,
phyto blend,2026-03-18T15:56:19+00:00,2026-03-19T02:47:39+00:00,14,240.0,mg
phytomenadione,2026-03-08T08:00:25+00:00,2026-03-13T07:26:47+00:00,5,,
preservative,2026-03-08T08:00:12+00:00,2026-03-08T08:00:16+00:00,2,,
product weight,2026-03-08T07:58:36+00:00,2026-03-10T11:33:29+00:00,3,60.0,g
product weight 60g,2026-03-08T08:02:05+00:00,2026-03-08T08:02:11+00:00,2,,
progrietery blend mezck atentede,2026-03-19T02:56:45+00:00,2026-03-19T02:56:45+00:00,1,138.0,mg
progrigtary blend,2026-03-19T02:56:46+00:00,2026-03-19T02:56:46+00:00,1,138.0,mg
pteroyl-i- glutamic,2026-03-13T07:26:47+00:00,2026-03-13T07:26:47+00:00,1,,
pteroyl-l- glutamic,2026-03-10T12:29:33+00:00,2026-03-10T12:37:42+00:00,3,,
pteroyl-l-glutamic,2026-03-10T11:49:33+00:00,2026-03-10T12:15:42+00:00,2,,
retinyl acetate,2026-03-10T11:49:33+00:00,2026-03-13T07:26:47+00:00,6,,
serve based on,2026-03-10T12:29:33+00:00,2026-03-10T12:37:41+00:00,3,2000.0,kcal
serving size 1 tablet,2026-03-08T08:01:35+00:00,2026-03-08T08:01:57+00:00,2,,
servings in the pack 60 tablets,2026-03-08T08:01:52+00:00,2026-03-08T08:02:07+00:00,2,,
silica,2026-03-18T16:42:04+00:00,2026-03-18T16:47:26+00:00,4,5.0,mg
tocopheryl,2026-03-10T11:49:33+00:00,2026-03-13T07:26:47+00:00,6,,
unknown compound xyz,2026-03-08T08:01:47+00:00,2026-03-08T08:01:47+00:00,1,,
vaamm b,2026-03-13T07:26:46+00:00,2026-03-13T07:34:32+00:00,2,10.0,mg
vehicle,2026-03-08T08:01:01+00:00,2026-03-08T08:01:18+00:00,2,,
viiamne,2026-03-13T14:36:20+00:00,2026-03-13T14:58:50+00:00,3,73.0,mg
vitamin b complex,2026-03-08T07:57:41+00:00,2026-03-08T07:57:41+00:00,1,,
vitmain b complex,2026-03-08T08:21:01+00:00,2026-03-08T08:23:35+00:00,2,1000.0,mg
vramine,2026-03-13T07:26:47+00:00,2026-03-13T09:28:22+00:00,9,73.0,mg
zine,2026-03-13T07:26:47+00:00,2026-03-13T09:28:22+00:00,9,12.0,mg
zing,2026-03-13T14:36:20+00:00,2026-03-13T14:58:50+00:00,3,12.0,mg
